id,title,type,release_date,spotify_id,album_id,track_no
1,The sky of early spring,0,2018-01-08,NULL,NULL,NULL
2,Ano Hi Mita Sora,0,2018-01-15,NULL,NULL,NULL
3,The sky of early spring,4,2018-01-19,NULL,NULL,NULL
4,Yumeiro Asterisk,0,2018-01-29,2oSCs755U2KBgoY9lrt1en,2,15
5,Melty Land Nightmare,1,2018-04-30,NULL,NULL,NULL
6,Akanbe,1,2018-05-03,NULL,NULL,NULL
7,Me and You and Everyone!,0,2018-05-15,NULL,NULL,NULL
8,Ano Hi Mita Sora,4,2018-06-01,NULL,NULL,NULL
9,Lion,1,2018-06-08,NULL,NULL,NULL
10,OKAERI,0,2018-07-08,1KAPfqbQYXtL3odJbi5OYX,2,14
11,Kimi to Nagameru Natsu no Hana,0,2018-07-21,6JYiu8ZQ9WxA0ZNkV59AUt,NULL,NULL
12,Solar System Disco,0,2018-07-28,NULL,NULL,NULL
13,Melancholic,1,2018-08-06,NULL,NULL,NULL
14,Blue Bird,1,2018-08-13,NULL,NULL,NULL
15,Cendrillon,1,2018-08-14,NULL,NULL,NULL
16,Sugar Song to Bitter Step,1,2018-08-21,NULL,NULL,NULL
17,The Moon swimming in the sea,1,2018-09-03,NULL,NULL,NULL
18,The Boy and Magic Robot,1,2018-09-20,NULL,NULL,NULL
19,Yumeji Labyrinth,1,2018-09-20,NULL,NULL,NULL
20,Genesis of Aquarion,1,2018-09-24,NULL,NULL,NULL
21,"rain stops, good-bye",1,2018-09-30,NULL,NULL,NULL
22,Ayano's Theory of Happiness,1,2018-10-01,NULL,NULL,NULL
23,Wistful Record,0,2018-10-04,2L4iHhnKqa2up7J9sK6tnZ,2,8
24,PLATONIC GIRL,1,2018-10-08,NULL,NULL,NULL
25,Wistful Record,1,2018-10-09,NULL,NULL,NULL
26,Happy Halloween,1,2018-10-21,NULL,NULL,NULL
27,Brain Fluid Explosion Girl,1,2018-10-25,NULL,NULL,NULL
28,Humorous Dream of Mrs. Pumpkin,1,2018-10-31,NULL,NULL,NULL
29,Melty Land Nightmare,1,2018-11-10,NULL,NULL,NULL
30,Wandering Days,0,2018-11-12,4q4Uzzu5VOOUFLjDDLsruS,2,12
31,Wistful Record,1,2018-11-13,NULL,NULL,NULL
32,Just Be Friends,1,2018-11-15,NULL,NULL,NULL
33,Sweet Devil,1,2018-11-21,NULL,NULL,NULL
34,comet,0,2018-11-22,5ZfIWQXhZdmxRemkyUUqfN,NULL,NULL
35,Geki! Teikoku Kagekidan,1,2018-11-23,NULL,NULL,NULL
36,only my railgun,1,2018-11-27,NULL,NULL,NULL
37,"Ah, It's a Wonderful Cat Life",1,2018-11-30,NULL,NULL,NULL
38,My Dearest,1,2018-12-06,NULL,NULL,NULL
39,Iya Iya-chan no Uta,1,2018-12-08,NULL,NULL,NULL
40,Sonna Ame no Hi ni wa,0,2018-12-12,5DdDt4TKlt4MQLttagznMM,2,10
41,Seventina,1,2018-12-13,NULL,NULL,NULL
42,Umi yori fukai sora no shita,0,2018-12-18,63pZZ3mXw7OVrVAtWo2p7S,2,9
43,Orange,1,2018-12-20,NULL,NULL,NULL
44,Sweets Parade,1,2018-12-21,NULL,NULL,NULL
45,"Please, darling",1,2018-12-24,NULL,NULL,NULL
46,melty world,1,2018-12-24,NULL,NULL,NULL
47,Miracle Paint,1,2018-12-24,NULL,NULL,NULL
48,Shinsekai,1,2018-12-25,NULL,NULL,NULL
49,Love! Snow! Really Magic,1,2018-12-25,NULL,NULL,NULL
50,Snow Song Show,1,2018-12-25,NULL,NULL,NULL
51,BRING IT ON,1,2018-12-26,NULL,NULL,NULL
52,Creating world,0,2018-12-28,4McpnduCLAkgKucCUZ6vXd,NULL,NULL
53,magnet,1,2018-12-29,NULL,NULL,NULL
54,miracle step,1,2018-12-30,NULL,NULL,NULL
55,Alien Alien,1,2019-01-02,NULL,NULL,NULL
56,Two Breaths Walking,1,2019-01-02,NULL,NULL,NULL
57,Dream☆Story,0,2019-01-08,5cNX1K6xEkEvA66SXGSoJP,2,1
58,Blend Caravan,0,2019-01-11,5DtV2QzzsNSl4BCWRHvaFH,2,7
59,Tobacco,1,2019-01-12,NULL,NULL,NULL
60,Heartbeat,0,2019-01-14,40lqvLpMh6iLArDrGe5FZK,4,2
61,Byoushin o Kamu,1,2019-01-19,NULL,NULL,NULL
62,Just a Sunny Day for You,1,2019-01-26,NULL,NULL,NULL
63,Real Melancholy,0,2019-01-31,4oNWFdj8TaNE38mllY67GH,NULL,NULL
64,Deep Sea Girl,1,2019-02-09,NULL,NULL,NULL
65,Heart & Trick,1,2019-02-10,NULL,NULL,NULL
66,Shine!!,1,2019-02-13,NULL,NULL,NULL
67,Valentine Kiss,1,2019-02-14,NULL,NULL,NULL
68,"Please, darling",1,2019-02-14,NULL,NULL,NULL
69,Indoor Kei nara Trackmaker,1,2019-02-14,NULL,NULL,NULL
70,Milk Tea,1,2019-02-15,NULL,NULL,NULL
71,Intertwined,1,2019-02-16,NULL,NULL,NULL
72,Kotobazake,0,2019-02-21,3WzrIoCt3Aytl5hKE2uQ6C,2,3
73,Lion,1,2019-02-23,NULL,NULL,NULL
74,Pre-Parade,1,2019-02-25,NULL,1,0
75,Sekai Wa Koi Ni Ochiteiru,1,2019-02-25,4HlUQyhMDDG6Y7Uu4p5rYt,1,1
76,Secret Base ~Kimi ga Kureta Mono~,1,2019-02-25,5ezf020ZofKmCYo3d6OIdF,1,6
77,Felicia,0,2019-02-25,42oyZkYiXbA9E8mIvZCrCS,NULL,NULL
78,My name is elite☆,0,2019-02-26,4b17n5DftDpNlqZ69hoN8l,NULL,NULL
79,I can't control myself,3,2019-02-28,7MDJb5sAGH2r34Az8szO1k,NULL,NULL
80,Two Stars,1,2019-03-03,NULL,NULL,NULL
81,ADAMAS,1,2019-03-07,NULL,NULL,NULL
82,I believe ~Umi no Soko kara~,1,2019-03-10,NULL,NULL,NULL
83,Sweet Magic,1,2019-03-14,NULL,NULL,NULL
84,Watashi Idol Sengen,1,2019-03-15,NULL,NULL,NULL
85,DONUT HOLE,1,2019-03-17,NULL,NULL,NULL
86,Her Trail on the Celestial Sphere,0,2019-03-22,0wTs0OV88H5YZrFX6zN4QJ,NULL,NULL
87,Hikari no Machi,0,2019-03-25,2G5kLObG2RrVG5NUlN2Qqz,NULL,NULL
88,Heroic Heroine,0,2019-03-27,61PoYqknIL31ZCRJtYQq3k,2,2
89,Hoshi no furu ni wa,0,2019-03-27,5KgQ0OyKOdMPVRIIHPOAyW,2,4
90,Saenai Jibun ni Love Song o,0,2019-03-27,3sf7PFQ6ZTVgZVXrefTcMF,2,5
91,IMAGE source,0,2019-03-27,69e0snJrn4F3IvAS8qy5vY,2,6
92,Metro Night,0,2019-03-27,30gwCaYzcU3jhsmSYDan4U,2,11
93,"I love you so much, I think I’m going to cry",0,2019-03-27,56uLtWhFjILLmGIufmcv50,2,13
94,Starry Regrets,0,2019-03-28,6jyBRo78hAwE82UjSIXMYG,NULL,NULL
95,Otome Dissection,1,2019-03-31,NULL,NULL,NULL
96,Ayano's Theory of Happiness,1,2019-04-04,NULL,NULL,NULL
97,Heart Thermography,1,2019-04-04,NULL,NULL,NULL
98,Snow Song Show,1,2019-04-10,NULL,NULL,NULL
99,Sweet Horror Princess,0,2019-04-12,NULL,NULL,NULL
100,Marigold,1,2019-04-12,NULL,NULL,NULL
101,Nameless Prisoner,1,2019-04-18,NULL,NULL,NULL
102,Viva Happy,1,2019-04-22,NULL,NULL,NULL
103,Kunoichi demo Koi ga shitai,1,2019-04-26,NULL,NULL,NULL
104,FICTION,0,2019-04-28,NULL,NULL,NULL
105,BOYS & GIRLS 3.0,0,2019-04-28,NULL,NULL,NULL
106,Inochi,3,2019-04-30,54vgHPOH9dvQJQ1VDDll5C,NULL,NULL
107,Fake.Fake.Fake,3,2019-04-30,2Ry3Dh3961tMDiEztJF2vg,NULL,NULL
108,Wholeheartedly,1,2019-05-05,NULL,NULL,NULL
109,"Goodbye, Ms. Floral Thief",1,2019-05-05,NULL,NULL,NULL
110,Utakata Mugen,1,2019-05-08,NULL,NULL,NULL
111,HAPPY BIRTHDAY,1,2019-05-13,NULL,NULL,NULL
112,Booo!,1,2019-05-25,NULL,NULL,NULL
113,Shit Days,0,2019-05-31,2wZFu4CW38XrzRli6Yby95,NULL,NULL
114,ECHO,1,2019-06-02,NULL,NULL,NULL
115,Viator,1,2019-06-07,NULL,NULL,NULL
116,DANZEN! Futari wa Pretty Cure,1,2019-06-09,NULL,NULL,NULL
117,Do You Want to Build a Snowman?,1,2019-06-19,NULL,NULL,NULL
118,Ai Kotoba,1,2019-06-24,NULL,NULL,NULL
119,Kataomoi,1,2019-06-25,NULL,NULL,NULL
120,Wishing,1,2019-06-28,NULL,NULL,NULL
121,Agape,1,2019-06-28,NULL,NULL,NULL
122,Castle&Dragon Theme Song,3,2019-06-29,NULL,NULL,NULL
123,Sayonara Hero,0,2019-06-30,1ZO9WzyITWRmeUg0nZERCr,NULL,NULL
124,Fansa,1,2019-06-30,NULL,NULL,NULL
125,Sparkle,1,2019-06-30,NULL,NULL,NULL
126,from A to Z,0,2019-07-01,6ATf4wXi52Cewd0BGpkmTW,NULL,NULL
127,Moffu Moffu DE Yoinoja yo,1,2019-07-03,NULL,NULL,NULL
128,Love Song,1,2019-07-08,NULL,NULL,NULL
129,"Don't say ""lazy""",1,2019-07-12,NULL,NULL,NULL
130,Creating World (Jun Kuroda Remix),2,2019-07-17,NULL,NULL,NULL
131,Remote Controller,1,2019-07-19,NULL,NULL,NULL
132,Gift,1,2019-07-20,NULL,NULL,NULL
133,Monday's melancholy,1,2019-07-20,NULL,NULL,NULL
134,Summer Color Festival!!!,0,2019-07-20,NULL,NULL,NULL
135,Ai Kotoba III,1,2019-07-25,NULL,NULL,NULL
136,Delusion Tax,1,2019-07-25,NULL,NULL,NULL
137,Manjushage,1,2019-07-26,NULL,NULL,NULL
138,Catch the Moment,1,2019-07-28,NULL,NULL,NULL
139,ERROR,0,2019-07-31,1o1XdW6wzRwDo5FrdTCt9D,NULL,NULL
140,Fansa,1,2019-08-03,NULL,NULL,NULL
141,Yukitoki,1,2019-08-03,NULL,NULL,NULL
142,letter song,1,2019-08-07,NULL,NULL,NULL
143,Brand New Life,0,2019-08-12,6HR1VZNzQyAFZVsA3E8stw,3,1
144,Ne-e...,0,2019-08-12,0hDxNxlhrZTcQHYzG70qqS,3,2
145,April,0,2019-08-12,3yRixKQfFGxn6aFar1m7Zb,3,5
146,March Bossa,0,2019-08-12,4Z8iEw2tDAtHF9Ql4iCPjH,3,6
147,FAMS,0,2019-08-12,6vEOKHxnWEJkQC8FG00VuH,3,7
148,Petit Swing,0,2019-08-12,2Jy60G7IsLazgWYIUSJA68,3,8
149,TOKIWA,0,2019-08-12,0qRHrT4rIM9LThXe8fRksW,3,9
150,Sweeping,0,2019-08-12,4X5DGi4qZsDoa4EseilqnP,3,10
151,Suki Kirai,1,2019-08-14,NULL,NULL,NULL
